edgeID,startNode,endNode
edge1,node1
PHALL03304_PHALL03204,PHALL03304
PHALL03304_PDEPT01404,PHALL03304
PHALL03304_PSTAI00404,PHALL03304
PHALL01005_PCONF00205,PHALL01005
PHALL01802_PHALL01702,PHALL01802
PREST00304_PHALL02204,PREST00304
PDEPT00205_PHALL00605,PDEPT00205
PREST00303_PHALL02103,PREST00303
PHALL01803_PHALL01703,PHALL01803
PHALL01803_PSERV00303,PHALL01803
PDEPT00203_PHALL00403,PDEPT00203
PHALL01804_PHALL01704,PHALL01804
PHALL01804_PDEPT01604,PHALL01804
PDEPT00204_PHALL03904,PDEPT00204
PHALL01805_PHALL01705,PHALL01805
PHALL01805_PDEPT00705,PHALL01805
PSERV00404_PHALL02704,PSERV00404
PSERV00402_PHALL00502,PSERV00402
PHALL02205_PHALL02105,PHALL02205
PHALL02205_PSTAI00305,PHALL02205
PHALL02205_PDEPT01305,PHALL02205
PDEPT00103_PHALL01303,PDEPT00103
PDEPT00101_PHALL02001,PDEPT00101
PHALL00701_PHALL00601,PHALL00701
PHALL02201_PHALL02101,PHALL02201
PCONF00104_PHALL01304,PCONF00104
PHALL02202_PHALL02102,PHALL02202
PCONF00103_PHALL01503,PCONF00103
PHALL02203_PHALL02003,PHALL02203
PHALL02203_PHALL02103,PHALL02203
PHALL02203_PSERV00103,PHALL02203
PHALL02204_PHALL02104,PHALL02204
PCONF00105_PHALL00205,PCONF00105
PHALL00705_PHALL00605,PHALL00705
PHALL00704_PHALL00604,PHALL00704
PHALL00703_PHALL00603,PHALL00703
PHALL00703_PDEPT00503,PHALL00703
PHALL00702_PHALL00602,PHALL00702
PHALL00702_PDEPT00702,PHALL00702
PDEPT01304_PHALL03204,PDEPT01304
PSTAI00305_PSTAI00304,PSTAI00305
PLAB00201_PHALL02101,PLAB00201
PKIOS00101_PHALL01301,PKIOS00101
PSERV00302_PHALL00402,PSERV00302
PSERV00301_PHALL02701,PSERV00301
PELEV00101_PELEV00102,PELEV00101
PELEV00102_PELEV00103,PELEV00102
PELEV00103_PELEV00104,PELEV00103
PELEV00104_PELEV00105,PELEV00104
PSTAI00505_PHALL01305,PSTAI00505
PSTAI00505_PSTAI00504,PSTAI00505
PELEV00105_PHALL01305,PELEV00105
PHALL01701_PHALL01601,PHALL01701
PHALL01701_PHALL02101,PHALL01701
PHALL01702_PHALL01602,PHALL01702
PHALL03205_PHALL03105,PHALL03205
PHALL03205_PDEPT01805,PHALL03205
PHALL03204_PHALL03104,PHALL03204
PHALL03204_PSERV00904,PHALL03204
PHALL01703_PHALL01603,PHALL01703
PHALL01703_PSERV00703,PHALL01703
PDEPT00304_PHALL03604,PDEPT00304
PHALL01704_PHALL01604,PHALL01704
PHALL01704_PSERV01004,PHALL01704
PDEPT00302_PHALL00302,PDEPT00302
PHALL01705_PHALL01605,PHALL01705
PHALL01705_PDEPT00605,PHALL01705
PDEPT00303_PHALL00503,PDEPT00303
PSERV00304_PHALL02104,PSERV00304
PDEPT00202_PHALL00202,PDEPT00202
PHALL02901_PHALL02801,PHALL02901
PHALL00602_PHALL00502,PHALL00602
PHALL00602_PDEPT00602,PHALL00602
PHALL02102_PHALL02002,PHALL02102
PHALL02102_PREST00102,PHALL02102
PHALL00601_PHALL00501,PHALL00601
PHALL02103_PSERV00203,PHALL02103
PHALL02104_PHALL02004,PHALL02104
PHALL02105_PHALL02005,PHALL02105
PHALL02105_PLAB00105,PHALL02105
PHALL00605_PHALL00505,PHALL00605
PHALL00604_PHALL00504,PHALL00604
PHALL00603_PHALL00503,PHALL00603
PHALL00603_PDEPT00403,PHALL00603
PDEPT01405_PHALL02605,PDEPT01405
PHALL02904_PHALL02804,PHALL02904
PHALL02904_PDEPT01004,PHALL02904
PHALL02904_PHALL03004,PHALL02904
PHALL02905_PHALL02805,PHALL02905
PHALL02905_PELEV00205,PHALL02905
PHALL02905_PREST00205,PHALL02905
PHALL02905_PHALL03005,PHALL02905
PLAB00101_PHALL00301,PLAB00101
PSERV00202_PHALL00202,PSERV00202
PELEV00201_PHALL02601,PELEV00201
PELEV00201_PELEV00202,PELEV00201
PHALL03101_PHALL03001,PHALL03101
PELEV00202_PELEV00203,PELEV00202
PELEV00203_PHALL02003,PELEV00203
PELEV00203_PELEV00204,PELEV00203
PELEV00204_PHALL02004,PELEV00204
PELEV00204_PELEV00205,PELEV00204
PREST00101_PHALL00401,PREST00101
PHALL01601_PHALL01401,PHALL01601
PHALL01601_PHALL02701,PHALL01601
PHALL01602_PHALL01502,PHALL01602
PHALL01602_PSERV00102,PHALL01602
PHALL01603_PHALL01403,PHALL01603
PHALL03104_PHALL03004,PHALL03104
PHALL03105_PHALL03005,PHALL03105
PHALL03105_PDEPT01705,PHALL03105
PHALL03105_PDEPT01605,PHALL03105
PDEPT00405_PHALL01405,PDEPT00405
PHALL01604_PHALL01504,PHALL01604
PHALL01604_PDEPT01704,PHALL01604
PHALL03904_PHALL03804,PHALL03904
PREST00105_PHALL00505,PREST00105
PREST00105_PHALL01305,PREST00105
PHALL01605_PHALL01505,PHALL01605
PHALL01605_PDEPT00505,PHALL01605
PHALL01605_PDEPT01005,PHALL01605
PDEPT00401_PHALL00501,PDEPT00401
PREST00104_PHALL00504,PREST00104
PDEPT00402_PHALL00402,PDEPT00402
PREST00103_PHALL00403,PREST00103
PHALL02001_PDEPT00301,PHALL02001
PCONF00305_PHALL01505,PCONF00305
PHALL02801_PHALL02701,PHALL02801
PHALL02801_PHALL03001,PHALL02801
PHALL00503_PHALL00403,PHALL00503
PHALL02003_PELEV00303,PHALL02003
PHALL00502_PHALL00402,PHALL00502
PHALL02004_PELEV00304,PHALL02004
PHALL00501_PHALL00401,PHALL00501
PHALL00505_PHALL00405,PHALL00505
PHALL00504_PHALL00404,PHALL00504
PDEPT01505_PHALL02705,PDEPT01505
PDEPT01504_PHALL01504,PDEPT01504
PHALL02804_PHALL02704,PHALL02804
PHALL02804_PSERV00704,PHALL02804
PHALL03001_PDEPT01001,PHALL03001
PELEV00301_PHALL02501,PELEV00301
PELEV00301_PELEV00302,PELEV00301
PELEV00302_PELEV00303,PELEV00302
PELEV00303_PELEV00304,PELEV00303
PELEV00304_PELEV00305,PELEV00304
PHALL01501_PHALL01401,PHALL01501
PHALL01502_PHALL01402,PHALL01502
PHALL01503_PHALL01403,PHALL01503
PHALL01503_PREST00203,PHALL01503
PHALL01504_PHALL01404,PHALL01504
PHALL01504_PDEPT01804,PHALL01504
PHALL03005_PHALL02605,PHALL03005
PHALL03005_PCONF00505,PHALL03005
PHALL03004_PSERV00804,PHALL03004
PDEPT00502_PHALL02602,PDEPT00502
PHALL01505_PHALL01405,PHALL01505
PREST00204_PHALL03604,PREST00204
PHALL03804_PHALL03704,PHALL03804
PHALL03804_PCONF00204,PHALL03804
PREST00202_PHALL02702,PREST00202
PELEV00305_PHALL02505,PELEV00305
PHALL02702_PHALL01302,PHALL02702
PHALL00404_PHALL00304,PHALL00404
PHALL00403_PHALL00303,PHALL00403
PHALL00402_PHALL00302,PHALL00402
PHALL00401_PHALL00201,PHALL00401
PHALL00405_PHALL00305,PHALL00405
PHALL02704_PHALL02604,PHALL02704
PHALL01402_PHALL01302,PHALL01402
PHALL01403_PHALL01303,PHALL01403
PHALL01404_PHALL01304,PHALL01404
PHALL01404_PDEPT02004,PHALL01404
PHALL03704_PHALL03604,PHALL03704
PHALL01405_PCONF00405,PHALL01405
PHALL00301_PHALL00201,PHALL00301
PHALL02601_PHALL02501,PHALL02601
PHALL02602_PHALL01302,PHALL02602
PHALL02604_PHALL02504,PHALL02604
PHALL00305_PHALL00205,PHALL00305
PHALL00304_PHALL00204,PHALL00304
PHALL00303_PHALL00203,PHALL00303
PHALL00302_PHALL00202,PHALL00302
PHALL02605_PHALL02505,PHALL02605
PEXIT00101_PHALL01301,PEXIT00101
PDEPT02104_PHALL00204,PDEPT02104
